session_id,WER_c1,WER_c2,DER_mix,DER_c1,DER_c2,red_c1,red_c2,sil_c1,sil_c2,SNR_c1,SNR_c2,result,fail_reasons
en_4571,0.06057385759829968,0.2916666666666667,0.0199,0.0264,0.0858,,,-42.10393018532408,-51.49464561843244,12.291883154643578,30.49720777342893,FAIL,WER(c2)=0.29; SNR(c1)=12.3
en_4576,0.09543230016313213,0.211864406779661,0.0064,0.0351,0.1007,,,-50.92152080914868,-48.45517347018095,28.56561352165891,20.24928098203722,FAIL,WER(c2)=0.21; DER(c2)=0.10
en_4595,0.061168384879725084,0.16934487021013597,0.0197,0.0219,0.03,,,-47.93311544515582,-51.78702944531068,25.095101524800025,31.642734802579398,FAIL,WER(c2)=0.17
en_4610,0.029192546583850933,0.14893617021276595,0.0416,0.032,0.0913,,,-48.3221115231731,-46.86095630426479,29.629694471277688,15.715732417230717,FAIL,WER(c2)=0.15; SNR(c2)=15.7
en_4612,0.17173051519154559,0.24872579001019368,0.0177,0.0296,0.0392,,,-59.96086860614145,-59.26396177393444,30.004264288253566,30.29799472284957,FAIL,WER(c1)=0.17; WER(c2)=0.25
en_4624,0.1069182389937107,0.15220483641536273,0.05,0.0709,0.0282,,,-57.99321196317864,-55.926787336272355,25.683708188514736,31.74350359548206,FAIL,WER(c1)=0.11; WER(c2)=0.15
en_4628,0.15082956259426847,0.13315926892950392,0.0297,0.0395,0.0424,,,-44.68752053144718,-54.2016781387389,14.360711711580102,26.42393465933332,FAIL,WER(c1)=0.15; WER(c2)=0.13; SNR(c1)=14.4
en_4660,0.04724041159962582,0.47767857142857145,0.0256,0.0389,0.0459,,,-51.9144636413051,-52.55627341420475,28.628613366753637,26.701630161618127,FAIL,WER(c2)=0.48
en_4665,0.07154882154882154,0.13333333333333333,0.0332,0.0564,0.1436,,,-48.997277672884785,-42.492618163740474,26.968470267071865,16.208566852272515,FAIL,WER(c2)=0.13; DER(c2)=0.14; SNR(c2)=16.2
en_4666,0.0446685878962536,0.4551282051282051,0.0014,0.0054,0.0041,,,-58.752765913844065,-58.12111659561929,28.877649784966835,31.43421760841466,FAIL,WER(c2)=0.46
en_4673,0.15346534653465346,0.10817941952506596,0.0035,0.0252,0.0139,,,-32.450525421474,-42.42224162738574,15.883113584320679,28.34869797714557,FAIL,WER(c1)=0.15; WER(c2)=0.11; SNR(c1)=15.9; sil(c1)=-32.45
en_4677,0.18773234200743494,0.22570532915360503,0.0347,0.0261,0.1681,,,-52.89385771579375,-49.396928406087056,24.429446518075583,21.627204418923668,FAIL,WER(c1)=0.19; WER(c2)=0.23; DER(c2)=0.17
en_4686,0.18829787234042553,0.17145688800792863,0.0202,0.0505,0.0758,,,-59.415015446654465,-48.78476093025193,27.8371136467595,28.64812638397586,FAIL,WER(c1)=0.19; WER(c2)=0.17
en_4702,0.8048780487804879,0.06816834617664493,0.0347,0.0564,0.0334,,,-57.626872084219784,-39.061718939918116,35.962658392978916,26.331560537418632,FAIL,WER(c1)=0.80; sil(c2)=-39.06
en_4705,0.13351749539594843,0.0614115490375802,0.0263,0.0516,0.0319,,,-46.63756580899803,-47.97821691295408,20.672692225260214,22.8767207903069,FAIL,WER(c1)=0.13
en_4792,0.17015706806282724,0.13165680473372782,0.0086,0.0448,0.0175,,,-48.9699109235574,-55.95352612506511,26.44330906561028,20.193041302740397,FAIL,WER(c1)=0.17; WER(c2)=0.13
en_4801,0.6052631578947368,0.13930348258706468,0.0863,0.0325,0.0778,,,-43.20092180972776,-45.62754834499566,22.90543240307043,22.088897230000747,FAIL,WER(c1)=0.61; WER(c2)=0.14; DER(mix)=0.09
en_4807,0.23563218390804597,0.20412844036697247,0.0499,0.0626,0.0762,,,-55.94560107637612,-46.339819961931894,24.743778866383444,20.152183248872465,FAIL,WER(c1)=0.24; WER(c2)=0.20
en_4808,0.452431289640592,0.0790413054563998,0.0015,0.0259,0.0055,,,-55.028301080153625,-54.7350542583716,27.755821923645772,36.55860170968519,FAIL,WER(c1)=0.45
en_4822,0.08869565217391304,0.09785932721712538,0.0056,0.0148,0.0233,,,-46.41400815609729,-42.07130342618326,26.19994323642881,20.493309630443775,PASS,
en_4829,0.09598853868194843,0.22807017543859648,0.0375,0.0543,0.0478,,,-38.709761880185894,-37.439986741433636,27.286379396897587,19.284730708025297,FAIL,WER(c2)=0.23; SNR(c2)=19.3; sil(c1)=-38.71; sil(c2)=-37.44
en_4838,0.3533834586466165,0.17391304347826086,0.0658,0.0838,0.0709,,,-51.22428353659059,-48.271987232138464,31.6462862774487,25.901045589524422,FAIL,WER(c1)=0.35; WER(c2)=0.17; DER(mix)=0.07
en_4844,0.13766088416340236,0.36486486486486486,0.0226,0.0549,0.051,,,-50.153998368833356,-50.30162387908494,24.466346092761093,27.885819673539864,FAIL,WER(c1)=0.14; WER(c2)=0.36
en_4861,0.45579567779960706,0.1020671834625323,0.0231,0.076,0.0026,,,-58.49233668640274,-56.26530500795909,32.17519142674998,37.0426562640302,FAIL,WER(c1)=0.46; WER(c2)=0.10
en_4886,0.3466796875,0.1426872770511296,0.0016,0.0149,0.0005,,,-50.508303607254284,-54.7161733227759,24.090899174823637,35.5569977064597,FAIL,WER(c1)=0.35; WER(c2)=0.14
